trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
167,False,"{'a': 0.6, 'e': 0.7146231058160573}",25,5,-16.002870023676294,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",1
168,False,"{'a': 0.6, 'e': 0.7131952878982822}",20,3,-78.84536786080717,"{0: 11, 1: 1, 2: 3, 3: 1, 4: 1}",1
169,False,"{'a': 0.6, 'e': 0.7117703227626097}",25,0,-43.535855445256985,"{0: 19, 1: 4, 2: 1, 3: 0, 4: 1}",0
170,False,"{'a': 0.6, 'e': 0.7103482047091773}",20,5,-48.19871237851076,"{0: 12, 1: 1, 2: 0, 3: 1, 4: 1}",1
171,False,"{'a': 0.6, 'e': 0.7089289280495107}",30,0,-135.93933015503205,"{0: 20, 1: 2, 2: 5, 3: 1, 4: 2}",0
172,False,"{'a': 0.6, 'e': 0.7075124871065017}",20,0,-117.08768326696979,"{0: 12, 1: 3, 2: 2, 3: 1, 4: 2}",0
173,False,"{'a': 0.6, 'e': 0.7060988762143844}",30,0,-129.54176205539494,"{0: 20, 1: 2, 2: 5, 3: 1, 4: 2}",0
174,False,"{'a': 0.6, 'e': 0.7046880897187134}",20,0,-97.21669254157047,"{0: 11, 1: 4, 2: 3, 3: 1, 4: 1}",0
175,False,"{'a': 0.6, 'e': 0.7032801219763409}",20,0,-137.18647561565007,"{0: 13, 1: 0, 2: 3, 3: 2, 4: 2}",0
176,False,"{'a': 0.6, 'e': 0.701874967355394}",20,0,-21.94454923953389,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
177,False,"{'a': 0.6, 'e': 0.7004726202352524}",30,16,-22.816959514903445,"{0: 10, 1: 1, 2: 3, 3: 0, 4: 0}",1
178,False,"{'a': 0.6, 'e': 0.6990730750065257}",20,11,-16.985581863715804,"{0: 6, 1: 0, 2: 3, 3: 0, 4: 0}",1
179,False,"{'a': 0.6, 'e': 0.697676326071031}",20,8,-6.947627699842909,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
180,False,"{'a': 0.6, 'e': 0.696282367841771}",25,0,-112.16043591809603,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
181,False,"{'a': 0.6, 'e': 0.6948911947429106}",25,0,-97.16883367319437,"{0: 15, 1: 1, 2: 7, 3: 2, 4: 0}",0
